#	MLS	Zip Code	Stat	Address	Current Price	BldgDes	Sub	Approx Liv Area	Beds Total	Baths Total	Garage	Pv Pool	Spa	Year Built	Actual Close Date	DOM	Parcel Number
1	2759145	89005	A-ER	1586 Tilman LN	$415,000.00	1STORY	TWH	1,326	3	0	2	N	N	2018		28	186-08-314-050
1	2737976	89005	A-ER	636 C AVE	$424,999.00	1STORY	SFR	779	2	2	0	N	N	1938		117	186-09-110-280
1	2750843	89005	A-ER	529 I	$435,000.00	1STORY	SFR	1,565	4	3	1	N	N	1936		58	186-09-510-031
1	2766919	89005	A-ER	204 Donner WAY	$435,500.00	2STORY	SFR	1,474	3	2	2	N	N	1990		0	186-05-710-062
1	2714195	89005	A-ER	668 Mount Tamalpais WAY	$449,000.00	1STORY	MAN	1,816	2	2	0	N	N	1980		207	181-33-410-049
1	2727274	89005	A-ER	595 Lake Michigan LN	$449,999.00	1STORY	MAN	1,848	2	2	0	N	N	1987		158	186-05-510-008
1	2674090	89005	A-ER	591 Lake Superior LN	$459,900.00	1STORY	MAN	2,210	2	2	2	N	Y	1983		341	186-05-511-021
1	2744482	89005	A-ER	605 L AVE	$460,000.00	1STORY	SFR	1,746	4	2	0	N	N	1934		68	186-09-510-193
1	2756065	89005	A-ER	623 California AVE	$498,800.00	2STORY	SFR	1,845	4	3	1	N	N	1936		36	186-09-110-214
1	2660308	89005	A-ER	834 Benita PL	$499,900.00	1STORY	SFR	1,333	3	2	0	Y	Y	1972		387	186-09-311-021
1	2636916	89008	A-ER	853 Holt ST	$55,000.00	1STORY	MAN	2,600	4	2	1	N	N	1976		471	003-132-22
1	2765664	89008	A-ER	370 Main ST	$188,800.00	1STORY	SFR	920	2	2	0	N	N	1929		5	003-084-10
1	2727778	89008	A-ER	70 Tennille ST	$200,000.00	1STORY	SFR	2,788	4	3	0	N	N	1932		160	003-074-08
1	2756764	89008	A-ER	561 Main ST	$267,900.00	1STORY,BASEMNT	SFR	1,610	4	2	2	N	N	1932		40	003-098-02
1	2717256	89008	A-ER	251 Spring HTS	$315,000.00	1STORY	SFR	1,733	2	2	0	N	N	2021		197	003-185-04
1	2733203	89008	A-ER	5203 Blue Desert TRL	$399,000.00	1STORY	SFR	1,664	2	3	2	N	Y	2004		138	013-042-17
1	2753058	89010	A-ER	1360 Wild Horse Run	$325,000.00	2STORY	SFR	960	1	3	1	N	N	2010		50
1	2744908	89011	A-ER	432 Sellers PL	$165,000.00	2STORY	TWH	838	1	1	0	N	N	1982		62	178-12-510-143
